point_a,point_b,distance_m,diff_mm,flag
VO02_5067,VO02_5068,1.438,3,OK
VO02_5071,VO02_5072,1.435,0,OK
VO02_5099,VO02_5100,1.429,-6,ALERT
VO02_5103,VO02_5104,1.432,-3,OK
VO02_5107,VO02_5108,1.435,0,OK
VO02_5131,VO02_5132,1.433,-2,OK
VO02_5135,VO02_5136,1.433,-2,OK
VO02_5139,VO02_5140,1.437,2,OK
VO02_5143,VO02_5144,1.432,-3,OK
VO02_5147,VO02_5148,1.432,-3,OK
VO02_5167,VO02_5168,1.430,-5,OK
VO02_5171,VO02_5172,1.433,-2,OK
VO02_5175,VO02_5176,1.433,-2,OK
VO02_5179,VO02_5180,1.433,-2,OK
VO02_5183,VO02_5184,1.433,-2,OK
VO02_5195,VO02_5196,1.425,-10,ALERT
VO02_5199,VO02_5200,1.432,-3,OK
VO02_5203,VO02_5204,1.431,-4,OK
VO02_5207,VO02_5208,1.434,-1,OK
VO02_5227,VO02_5228,1.436,1,OK
VO02_5231,VO02_5232,1.429,-6,ALERT
VO02_5235,VO02_5236,1.435,0,OK
VO02_5239,VO02_5240,1.431,-4,OK
VO02_5271,VO02_5272,1.430,-5,OK
VO02_5275,VO02_5276,1.437,2,OK
VO02_5279,VO02_5280,1.437,2,OK
VO02_5283,VO02_5284,1.438,3,OK
VO02_5303,VO02_5304,1.425,-10,ALERT
VO02_5307,VO02_5308,1.433,-2,OK
VO02_5311,VO02_5312,1.434,-1,OK
VO02_5315,VO02_5316,1.433,-2,OK
VO02_5319,VO02_5320,1.434,-1,OK
VO02_5343,VO02_5344,1.434,-1,OK
VO02_5347,VO02_5348,1.435,0,OK
VO02_5351,VO02_5352,1.433,-2,OK
VO02_5355,VO02_5356,1.434,-1,OK
VO02_5375,VO02_5376,1.436,1,OK
VO02_5379,VO02_5380,1.433,-2,OK
VO02_5383,VO02_5384,1.437,2,OK
VO02_5387,VO02_5388,1.436,1,OK
VO02_5407,VO02_5408,1.438,3,OK
VO02_5411,VO02_5412,1.436,1,OK
VO02_5415,VO02_5416,1.441,6,ALERT
VO02_5419,VO02_5420,1.439,4,OK
VO02_5423,VO02_5424,1.429,-6,ALERT
VO02_5447,VO02_5448,1.429,-6,ALERT
VO02_5451,VO02_5452,1.438,3,OK
VO02_5455,VO02_5456,1.429,-6,ALERT
VO02_5459,VO02_5460,1.438,3,OK
VO02_5463,VO02_5464,1.438,3,OK
VO02_5487,VO02_5488,1.435,0,OK
VO02_5491,VO02_5492,1.436,1,OK
VO02_5495,VO02_5496,1.437,2,OK
VO02_5499,VO02_5500,1.434,-1,OK
VO02_5519,VO02_5520,1.430,-5,OK
VO02_5523,VO02_5524,1.433,-2,OK
VO02_5527,VO02_5528,1.435,0,OK
VO02_5531,VO02_5532,1.431,-4,OK
VO02_5535,VO02_5536,1.442,7,ALERT
VO02_5559,VO02_5560,1.428,-7,ALERT
VO02_5563,VO02_5564,1.434,-1,OK
VO02_5567,VO02_5568,1.429,-6,ALERT
VO02_5571,VO02_5572,1.432,-3,OK
VO02_5595,VO02_5596,1.435,0,OK
VO02_5599,VO02_5600,1.433,-2,OK
VO02_5603,VO02_5604,1.434,-1,OK
VO02_5607,VO02_5608,1.431,-4,OK
VO02_5627,VO02_5628,1.466,31,ALERT
VO02_5631,VO02_5632,1.435,0,OK
VO02_5635,VO02_5636,1.438,3,OK
VO02_5639,VO02_5640,1.436,1,OK
VO02_5643,VO02_5644,1.432,-3,OK
VO02_5667,VO02_5668,1.435,0,OK
VO02_5671,VO02_5672,1.431,-4,OK
VO02_5675,VO02_5676,1.435,0,OK
VO02_5679,VO02_5680,1.434,-1,OK
VO02_5683,VO02_5684,1.436,1,OK
VO02_5707,VO02_5708,1.435,0,OK
VO02_5711,VO02_5712,1.438,3,OK
VO02_5715,VO02_5716,1.431,-4,OK
VO02_5719,VO02_5720,1.593,158,ALERT
VO02_5723,VO02_5724,1.437,2,OK
VO02_5747,VO02_5748,1.435,0,OK
VO02_5751,VO02_5752,1.437,2,OK
VO02_5755,VO02_5756,1.434,-1,OK
VO02_5759,VO02_5760,1.434,-1,OK
VO02_5763,VO02_5764,1.434,-1,OK
VO02_5767,VO02_5768,1.436,1,OK
VO02_5795,VO02_5796,1.435,0,OK
VO02_5799,VO02_5800,1.431,-4,OK
VO02_5803,VO02_5804,1.433,-2,OK
VO02_5807,VO02_5808,1.435,0,OK
VO02_5831,VO02_5832,1.437,2,OK
VO02_5835,VO02_5836,8.415,6980,ALERT
VO02_5839,VO02_5840,1.432,-3,OK
VO02_5843,VO02_5844,1.439,4,OK
VO02_5847,VO02_5848,1.433,-2,OK
VO02_5871,VO02_5872,1.433,-2,OK
VO02_5875,VO02_5876,1.432,-3,OK
VO02_5883,VO02_5884,1.434,-1,OK
VO02_5911,VO02_5912,1.439,4,OK
VO02_5915,VO02_5916,1.433,-2,OK
VO02_5919,VO02_5920,1.435,0,OK
VO02_5923,VO02_5924,1.436,1,OK
VO02_5927,VO02_5928,1.436,1,OK
VO02_5951,VO02_5952,1.436,1,OK
VO02_5955,VO02_5956,1.437,2,OK
VO02_5959,VO02_5960,1.434,-1,OK
VO02_5967,VO02_5968,1.436,1,OK
VO02_5991,VO02_5992,1.435,0,OK
VO02_5995,VO02_5996,1.433,-2,OK
VO02_6019,VO02_6020,1.436,1,OK
VO02_6023,VO02_6024,1.434,-1,OK
VO02_6027,VO02_6028,1.434,-1,OK
VO02_6031,VO02_6032,1.432,-3,OK
VO02_6055,VO02_6056,1.437,2,OK
VO02_6059,VO02_6060,1.437,2,OK
VO02_6063,VO02_6064,1.436,1,OK
VO02_6067,VO02_6068,1.434,-1,OK
VO02_6071,VO02_6072,1.435,0,OK
VO02_6095,VO02_6096,1.440,5,OK
VO02_6099,VO02_6100,1.436,1,OK
VO02_6103,VO02_6104,1.438,3,OK
VO02_6107,VO02_6108,1.437,2,OK
VO02_6111,VO02_6112,1.439,4,OK
VO02_6115,VO02_6116,1.434,-1,OK
VO02_6139,VO02_6140,1.434,-1,OK
VO02_6143,VO02_6144,1.464,29,ALERT
VO02_6147,VO02_6148,1.437,2,OK
VO02_6151,VO02_6152,1.433,-2,OK
VO02_6175,VO02_6176,1.434,-1,OK
VO02_6179,VO02_6180,1.435,0,OK
VO02_6183,VO02_6184,1.430,-5,OK
VO02_6187,VO02_6188,1.433,-2,OK
VO02_6191,VO02_6192,1.434,-1,OK
VO02_6211,VO02_6212,1.431,-4,OK
VO02_6215,VO02_6216,1.436,1,OK
VO02_6219,VO02_6220,1.435,0,OK
VO02_6223,VO02_6224,1.431,-4,OK
VO02_6227,VO02_6228,1.437,2,OK
VO02_6251,VO02_6252,1.432,-3,OK
VO02_6255,VO02_6256,1.436,1,OK
VO02_6259,VO02_6260,1.432,-3,OK
VO02_6263,VO02_6264,1.436,1,OK
VO02_6287,VO02_6288,1.436,1,OK
VO02_6291,VO02_6292,1.433,-2,OK
VO02_6295,VO02_6296,1.433,-2,OK
VO02_6299,VO02_6300,1.437,2,OK
VO02_6303,VO02_6304,1.434,-1,OK
VO02_6323,VO02_6324,1.436,1,OK
VO02_6327,VO02_6328,1.437,2,OK
VO02_6331,VO02_6332,1.434,-1,OK
VO02_6335,VO02_6336,1.433,-2,OK
VO02_6359,VO02_6360,1.434,-1,OK
VO02_6363,VO02_6364,1.431,-4,OK
VO02_6367,VO02_6368,1.438,3,OK
VO02_6371,VO02_6372,1.436,1,OK
VO02_6391,VO02_6392,1.431,-4,OK
VO02_6395,VO02_6396,1.434,-1,OK
VO02_6399,VO02_6400,1.435,0,OK
VO02_6403,VO02_6404,1.437,2,OK
VO02_6407,VO02_6408,1.435,0,OK
VO02_6427,VO02_6428,1.435,0,OK
VO02_6431,VO02_6432,1.433,-2,OK
VO02_6435,VO02_6436,1.438,3,OK
VO02_6439,VO02_6440,1.437,2,OK
VO02_6443,VO02_6444,1.432,-3,OK
VO02_6467,VO02_6468,1.433,-2,OK
VO02_6471,VO02_6472,1.434,-1,OK
VO02_6475,VO02_6476,1.433,-2,OK
VO02_6479,VO02_6480,1.438,3,OK
VO02_6499,VO02_6500,1.435,0,OK
VO02_6503,VO02_6504,1.437,2,OK
VO02_6507,VO02_6508,1.436,1,OK
VO02_6511,VO02_6512,1.434,-1,OK
VO02_6515,VO02_6516,1.434,-1,OK
VO02_6539,VO02_6540,1.436,1,OK
VO02_6543,VO02_6544,1.436,1,OK
VO02_6547,VO02_6548,1.436,1,OK
VO02_6551,VO02_6552,1.435,0,OK
VO02_6575,VO02_6576,1.434,-1,OK
VO02_6579,VO02_6580,1.435,0,OK
VO02_6583,VO02_6584,1.436,1,OK
VO02_6587,VO02_6588,1.434,-1,OK
VO02_6591,VO02_6592,1.434,-1,OK
VO02_6615,VO02_6616,1.435,0,OK
VO02_6619,VO02_6620,1.434,-1,OK
VO02_6623,VO02_6624,1.434,-1,OK
VO02_6627,VO02_6628,1.436,1,OK
VO02_6631,VO02_6632,1.437,2,OK
VO02_6651,VO02_6652,1.436,1,OK
VO02_6655,VO02_6656,1.433,-2,OK
VO02_6659,VO02_6660,1.435,0,OK
VO02_6663,VO02_6664,1.432,-3,OK
VO02_6667,VO02_6668,1.433,-2,OK
VO02_6691,VO02_6692,1.434,-1,OK
VO02_6695,VO02_6696,1.428,-7,ALERT
VO02_6699,VO02_6700,1.437,2,OK
VO02_6703,VO02_6704,1.436,1,OK
VO02_6727,VO02_6728,1.433,-2,OK
VO02_6731,VO02_6732,1.435,0,OK
VO02_6735,VO02_6736,1.435,0,OK
VO02_6739,VO02_6740,1.435,0,OK
VO02_6743,VO02_6744,1.435,0,OK
VO02_6763,VO02_6764,1.437,2,OK
VO02_6767,VO02_6768,1.438,3,OK
VO02_6771,VO02_6772,1.436,1,OK
VO02_6775,VO02_6776,1.438,3,OK
VO02_6779,VO02_6780,1.433,-2,OK
VO02_6803,VO02_6804,1.436,1,OK
VO02_6807,VO02_6808,1.435,0,OK
VO02_6811,VO02_6812,1.436,1,OK
VO02_6815,VO02_6816,1.431,-4,OK
VO02_6839,VO02_6840,1.435,0,OK
VO02_6843,VO02_6844,1.436,1,OK
VO02_6847,VO02_6848,1.434,-1,OK
VO02_6851,VO02_6852,1.437,2,OK
VO02_6855,VO02_6856,1.436,1,OK
VO02_6879,VO02_6880,1.432,-3,OK
VO02_6883,VO02_6884,1.435,0,OK
VO02_6887,VO02_6888,1.431,-4,OK
VO02_6891,VO02_6892,1.431,-4,OK
VO02_6895,VO02_6896,1.435,0,OK
VO02_6915,VO02_6916,1.436,1,OK
VO02_6919,VO02_6920,1.435,0,OK
VO02_6923,VO02_6924,1.437,2,OK
VO02_6927,VO02_6928,1.434,-1,OK
VO02_6931,VO02_6932,1.434,-1,OK
VO02_6955,VO02_6956,1.437,2,OK
VO02_6959,VO02_6960,1.435,0,OK
VO02_6963,VO02_6964,1.433,-2,OK
VO02_6967,VO02_6968,1.432,-3,OK
VO02_6987,VO02_6988,1.437,2,OK
VO02_6991,VO02_6992,1.435,0,OK
VO02_6995,VO02_6996,1.435,0,OK
VO02_6999,VO02_7000,1.431,-4,OK
VO02_7003,VO02_7004,1.434,-1,OK
VO02_7027,VO02_7028,1.438,3,OK
VO02_7031,VO02_7032,1.436,1,OK
VO02_7035,VO02_7036,1.434,-1,OK
VO02_7039,VO02_7040,1.432,-3,OK
VO02_7063,VO02_7064,1.431,-4,OK
VO02_7067,VO02_7068,1.436,1,OK
VO02_7071,VO02_7072,1.436,1,OK
VO02_7075,VO02_7076,1.434,-1,OK
VO02_7079,VO02_7080,1.433,-2,OK
VO02_7099,VO02_7100,1.435,0,OK
VO02_7103,VO02_7104,1.435,0,OK
VO02_7107,VO02_7108,1.433,-2,OK
VO02_7111,VO02_7112,1.430,-5,OK
VO02_7115,VO02_7116,1.436,1,OK
VO02_7139,VO02_7140,1.434,-1,OK
VO02_7143,VO02_7144,1.434,-1,OK
VO02_7147,VO02_7148,1.434,-1,OK
VO02_7151,VO02_7152,1.438,3,OK
VO02_7175,VO02_7176,1.437,2,OK
VO02_7179,VO02_7180,1.434,-1,OK
VO02_7183,VO02_7184,1.434,-1,OK
VO02_7187,VO02_7188,1.433,-2,OK
VO02_7191,VO02_7192,1.432,-3,OK
VO02_7215,VO02_7216,1.434,-1,OK
VO02_7219,VO02_7220,1.438,3,OK
VO02_7223,VO02_7224,1.434,-1,OK
VO02_7227,VO02_7228,1.436,1,OK
VO02_7231,VO02_7232,1.438,3,OK
VO02_7251,VO02_7252,1.434,-1,OK
VO02_7255,VO02_7256,1.436,1,OK
VO02_7259,VO02_7260,1.435,0,OK
VO02_7263,VO02_7264,1.435,0,OK
VO02_7267,VO02_7268,1.434,-1,OK
VO02_7295,VO02_7296,1.432,-3,OK
VO02_7299,VO02_7300,1.432,-3,OK
VO02_7303,VO02_7304,1.439,4,OK
VO02_7307,VO02_7308,1.438,3,OK
VO02_7311,VO02_7312,1.437,2,OK
VO02_7315,VO02_7316,1.436,1,OK
VO02_7319,VO02_7320,1.433,-2,OK
VO02_7323,VO02_7324,1.435,0,OK
VO02_7327,VO02_7328,1.453,18,ALERT
VO02_7331,VO02_7332,1.436,1,OK
VO02_7335,VO02_7336,1.438,3,OK
VO02_7383,VO02_7384,1.436,1,OK
VO02_7387,VO02_7388,1.435,0,OK
VO02_7391,VO02_7392,1.432,-3,OK
VO02_7395,VO02_7396,1.433,-2,OK
VO02_7399,VO02_7400,1.432,-3,OK
VO02_7423,VO02_7424,1.433,-2,OK
VO02_7427,VO02_7428,1.433,-2,OK
VO02_7431,VO02_7432,1.434,-1,OK
VO02_7435,VO02_7436,1.433,-2,OK
VO02_7439,VO02_7440,1.433,-2,OK
VO02_7463,VO02_7464,1.432,-3,OK
VO02_7467,VO02_7468,1.434,-1,OK
VO02_7471,VO02_7472,1.433,-2,OK
VO02_7475,VO02_7476,1.435,0,OK
VO02_7479,VO02_7480,1.433,-2,OK
VO02_7503,VO02_7504,1.438,3,OK
VO02_7507,VO02_7508,1.432,-3,OK
VO02_7511,VO02_7512,1.434,-1,OK
VO02_7515,VO02_7516,1.435,0,OK
VO02_7519,VO02_7520,1.431,-4,OK
VO02_7543,VO02_7544,1.429,-6,ALERT
VO02_7551,VO02_7552,1.434,-1,OK
VO02_7555,VO02_7556,1.527,92,ALERT
VO02_7583,VO02_7584,1.437,2,OK
VO02_7587,VO02_7588,1.435,0,OK
VO02_7591,VO02_7592,1.434,-1,OK
VO02_7595,VO02_7596,1.440,5,OK
VO02_7619,VO02_7620,1.438,3,OK
VO02_7623,VO02_7624,1.429,-6,ALERT
VO02_7627,VO02_7628,1.436,1,OK
VO02_7647,VO02_7648,1.438,3,OK
VO02_7651,VO02_7652,1.432,-3,OK
VO02_7655,VO02_7656,1.438,3,OK
VO02_7659,VO02_7660,1.431,-4,OK
VO02_7683,VO02_7684,1.435,0,OK
VO02_7687,VO02_7688,1.436,1,OK
VO02_7691,VO02_7692,1.432,-3,OK
VO02_7695,VO02_7696,1.436,1,OK
VO02_7699,VO02_7700,1.438,3,OK
VO02_7723,VO02_7724,1.436,1,OK
VO02_7727,VO02_7728,2.724,1289,ALERT
VO02_7731,VO02_7732,1.447,12,ALERT
VO02_7735,VO02_7736,1.440,5,OK
VO02_7739,VO02_7740,1.422,-13,ALERT
VO02_7763,VO02_7764,1.435,0,OK
VO02_7767,VO02_7768,1.419,-16,ALERT
VO02_7771,VO02_7772,1.415,-20,ALERT
VO02_7775,VO02_7776,1.424,-11,ALERT
VO02_7779,VO02_7780,1.439,4,OK
VO02_7783,VO02_7784,1.449,14,ALERT
VO02_7787,VO02_7788,1.432,-3,OK
VO02_7791,VO02_7792,1.427,-8,ALERT
VO02_7795,VO02_7796,1.427,-8,ALERT
VO02_7799,VO02_7800,1.431,-4,OK
VO02_7803,VO02_7804,1.436,1,OK
VO02_7807,VO02_7808,1.444,9,ALERT
VO02_7839,VO02_7840,1.436,1,OK
VO02_7843,VO02_7844,1.435,0,OK
VO02_7847,VO02_7848,1.436,1,OK
VO02_7851,VO02_7852,1.434,-1,OK
VO02_7855,VO02_7856,1.427,-8,ALERT
VO02_7879,VO02_7880,1.433,-2,OK
VO02_7883,VO02_7884,1.433,-2,OK
VO02_7887,VO02_7888,1.436,1,OK
VO02_7891,VO02_7892,1.436,1,OK
VO02_7895,VO02_7896,1.438,3,OK
VO02_7919,VO02_7920,1.433,-2,OK
VO02_7923,VO02_7924,1.438,3,OK
VO02_7927,VO02_7928,1.436,1,OK
VO02_7931,VO02_7932,1.437,2,OK
VO02_7935,VO02_7936,1.432,-3,OK
VO02_7959,VO02_7960,1.435,0,OK
VO02_7963,VO02_7964,1.434,-1,OK
VO02_7967,VO02_7968,1.433,-2,OK
VO02_7971,VO02_7972,1.435,0,OK
VO02_7975,VO02_7976,1.433,-2,OK
VO02_7979,VO02_7980,1.434,-1,OK
VO02_8007,VO02_8008,1.436,1,OK
VO02_8011,VO02_8012,1.436,1,OK
VO02_8015,VO02_8016,1.434,-1,OK
VO02_8019,VO02_8020,1.439,4,OK
VO02_8023,VO02_8024,1.431,-4,OK
VO02_8047,VO02_8048,9.533,8098,ALERT
VO02_8051,VO02_8052,1.437,2,OK
VO02_8055,VO02_8056,1.773,338,ALERT
VO02_8059,VO02_8060,1.433,-2,OK
VO02_8063,VO02_8064,7.911,6476,ALERT
VO02_8087,VO02_8088,1.434,-1,OK
VO02_8091,VO02_8092,1.431,-4,OK
VO02_8095,VO02_8096,1.433,-2,OK
VO02_8099,VO02_8100,1.435,0,OK
VO02_8103,VO02_8104,1.437,2,OK
VO02_8127,VO02_8128,1.435,0,OK
VO02_8131,VO02_8132,1.436,1,OK
VO02_8135,VO02_8136,1.438,3,OK
VO02_8139,VO02_8140,1.435,0,OK
VO02_8143,VO02_8144,1.434,-1,OK
VO02_8163,VO02_8164,1.436,1,OK
VO02_8167,VO02_8168,1.434,-1,OK
VO02_8171,VO02_8172,1.435,0,OK
VO02_8175,VO02_8176,1.436,1,OK
VO02_8179,VO02_8180,1.437,2,OK
VO02_8207,VO02_8208,1.436,1,OK
VO02_8211,VO02_8212,1.431,-4,OK
VO02_8215,VO02_8216,1.425,-10,ALERT
VO02_8219,VO02_8220,1.437,2,OK
VO02_8223,VO02_8224,1.437,2,OK
VO02_8247,VO02_8248,1.429,-6,ALERT
VO02_8271,VO02_8272,1.438,3,OK
VO02_8275,VO02_8276,1.437,2,OK
VO02_8279,VO02_8280,1.436,1,OK
VO02_8283,VO02_8284,1.437,2,OK
VO02_8307,VO02_8308,1.437,2,OK
VO02_8311,VO02_8312,1.437,2,OK
VO02_8315,VO02_8316,1.435,0,OK
VO02_8319,VO02_8320,1.435,0,OK
VO02_8323,VO02_8324,1.433,-2,OK
VO02_8347,VO02_8348,1.436,1,OK
VO02_8351,VO02_8352,1.434,-1,OK
VO02_8355,VO02_8356,1.434,-1,OK
VO02_8359,VO02_8360,1.438,3,OK
VO02_8363,VO02_8364,1.434,-1,OK
VO02_8387,VO02_8388,1.436,1,OK
VO02_8391,VO02_8392,1.439,4,OK
VO02_8395,VO02_8396,1.437,2,OK
VO02_8399,VO02_8400,1.437,2,OK
VO02_8403,VO02_8404,1.436,1,OK
VO02_8427,VO02_8428,1.435,0,OK
VO02_8431,VO02_8432,1.439,4,OK
VO02_8435,VO02_8436,1.436,1,OK
VO02_8439,VO02_8440,1.433,-2,OK
VO02_8443,VO02_8444,1.432,-3,OK
VO02_8475,VO02_8476,1.434,-1,OK
VO02_8479,VO02_8480,1.437,2,OK
VO02_8483,VO02_8484,1.431,-4,OK
VO02_8487,VO02_8488,1.440,5,OK
VO02_8491,VO02_8492,1.438,3,OK
VO02_8495,VO02_8496,1.441,6,ALERT
VO02_8499,VO02_8500,1.435,0,OK
VO02_8523,VO02_8524,1.440,5,OK
VO02_8527,VO02_8528,1.442,7,ALERT
VO02_8531,VO02_8532,1.442,7,ALERT
VO02_8535,VO02_8536,1.435,0,OK
VO02_8539,VO02_8540,1.435,0,OK
VO02_8563,VO02_8564,1.433,-2,OK
VO02_8567,VO02_8568,1.436,1,OK
VO02_8571,VO02_8572,1.436,1,OK
VO02_8575,VO02_8576,1.436,1,OK
VO02_8579,VO02_8580,1.434,-1,OK
VO02_8603,VO02_8604,1.436,1,OK
VO02_8607,VO02_8608,1.437,2,OK
VO02_8611,VO02_8612,1.437,2,OK
VO02_8615,VO02_8616,1.435,0,OK
VO02_8619,VO02_8620,1.438,3,OK
VO02_8643,VO02_8644,1.434,-1,OK
VO02_8647,VO02_8648,1.436,1,OK
VO02_8651,VO02_8652,1.439,4,OK
VO02_8655,VO02_8656,1.435,0,OK
VO02_8659,VO02_8660,1.439,4,OK
VO02_8683,VO02_8684,1.434,-1,OK
VO02_8687,VO02_8688,1.431,-4,OK
VO02_8691,VO02_8692,1.435,0,OK
VO02_8695,VO02_8696,1.435,0,OK
VO02_8699,VO02_8700,1.432,-3,OK
VO02_8727,VO02_8728,1.435,0,OK
VO02_8731,VO02_8732,1.439,4,OK
VO02_8735,VO02_8736,1.432,-3,OK
VO02_8739,VO02_8740,1.433,-2,OK
VO02_8743,VO02_8744,1.439,4,OK
VO02_8747,VO02_8748,1.435,0,OK
VO02_8771,VO02_8772,1.439,4,OK
VO02_8775,VO02_8776,1.435,0,OK
VO02_8779,VO02_8780,1.437,2,OK
VO02_8783,VO02_8784,1.438,3,OK
VO02_8787,VO02_8788,1.435,0,OK
VO02_8815,VO02_8816,1.439,4,OK
VO02_8819,VO02_8820,1.436,1,OK
VO02_8823,VO02_8824,1.438,3,OK
VO02_8827,VO02_8828,1.440,5,OK
VO02_8831,VO02_8832,1.434,-1,OK
VO02_8835,VO02_8836,1.437,2,OK
VO02_8859,VO02_8860,1.435,0,OK
VO02_8863,VO02_8864,1.438,3,OK
VO02_8867,VO02_8868,1.437,2,OK
VO02_8871,VO02_8872,1.433,-2,OK
VO02_8875,VO02_8876,1.438,3,OK
VO02_8907,VO02_8908,1.435,0,OK
VO02_8911,VO02_8912,1.436,1,OK
VO02_8915,VO02_8916,1.435,0,OK
VO02_8919,VO02_8920,1.433,-2,OK
VO02_8923,VO02_8924,1.437,2,OK
VO02_8927,VO02_8928,1.434,-1,OK
VO02_8931,VO02_8932,1.439,4,OK
VO02_8935,VO02_8936,1.436,1,OK
VO02_8939,VO02_8940,1.438,3,OK
VO02_8943,VO02_8944,1.437,2,OK
VO02_8991,VO02_8992,1.433,-2,OK
VO02_8995,VO02_8996,1.431,-4,OK
VO02_8999,VO02_9000,1.429,-6,ALERT
VO02_9003,VO02_9004,1.435,0,OK
VO02_9007,VO02_9008,1.436,1,OK
VO02_9011,VO02_9012,1.433,-2,OK
VO02_9015,VO02_9016,1.438,3,OK
VO02_9019,VO02_9020,1.436,1,OK
VO02_9023,VO02_9024,1.433,-2,OK
VO02_9027,VO02_9028,1.434,-1,OK
VO02_9067,VO02_9068,1.437,2,OK
VO02_9071,VO02_9072,1.437,2,OK
VO02_9075,VO02_9076,1.432,-3,OK
VO02_9079,VO02_9080,1.434,-1,OK
VO02_9083,VO02_9084,1.435,0,OK
VO02_9107,VO02_9108,1.438,3,OK
VO02_9111,VO02_9112,1.438,3,OK
VO02_9115,VO02_9116,1.433,-2,OK
VO02_9119,VO02_9120,1.435,0,OK
VO02_9123,VO02_9124,1.428,-7,ALERT
VO02_9147,VO02_9148,1.433,-2,OK
VO02_9151,VO02_9152,1.435,0,OK
VO02_9155,VO02_9156,1.437,2,OK
VO02_9159,VO02_9160,1.435,0,OK
VO02_9163,VO02_9164,1.439,4,OK
VO02_9187,VO02_9188,1.439,4,OK
VO02_9191,VO02_9192,1.437,2,OK
VO02_9195,VO02_9196,1.438,3,OK
VO02_9199,VO02_9200,1.434,-1,OK
VO02_9203,VO02_9204,1.437,2,OK
VO02_9207,VO02_9208,1.438,3,OK
VO02_9235,VO02_9236,1.439,4,OK
VO02_9239,VO02_9240,1.435,0,OK
VO02_9243,VO02_9244,1.433,-2,OK
VO02_9247,VO02_9248,2.393,958,ALERT
VO02_9251,VO02_9252,1.436,1,OK
VO02_9275,VO02_9276,1.436,1,OK
VO02_9279,VO02_9280,1.437,2,OK
VO02_9283,VO02_9284,1.437,2,OK
VO02_9287,VO02_9288,1.436,1,OK
VO02_9291,VO02_9292,1.439,4,OK
VO02_9315,VO02_9316,1.436,1,OK
VO02_9319,VO02_9320,1.435,0,OK
VO02_9323,VO02_9324,1.437,2,OK
VO02_9327,VO02_9328,1.436,1,OK
VO02_9331,VO02_9332,1.436,1,OK
VO02_9355,VO02_9356,1.438,3,OK
VO02_9359,VO02_9360,1.439,4,OK
VO02_9363,VO02_9364,1.437,2,OK
VO02_9367,VO02_9368,1.436,1,OK
VO02_9371,VO02_9372,1.440,5,OK
VO02_9403,VO02_9404,1.440,5,OK
VO02_9407,VO02_9408,1.439,4,OK
VO02_9411,VO02_9412,1.438,3,OK
VO02_9415,VO02_9416,1.433,-2,OK
VO02_9419,VO02_9420,1.441,6,ALERT
VO02_9423,VO02_9424,1.432,-3,OK
VO02_9427,VO02_9428,1.441,6,ALERT
VO02_9439,VO02_9440,1.444,9,ALERT
VO02_9443,VO02_9444,1.447,12,ALERT
VO02_9467,VO02_9468,1.436,1,OK
VO02_9471,VO02_9472,1.437,2,OK
VO02_9475,VO02_9476,1.438,3,OK
VO02_9479,VO02_9480,1.437,2,OK
VO02_9483,VO02_9484,1.437,2,OK
VO02_9507,VO02_9508,1.437,2,OK
VO02_9511,VO02_9512,1.447,12,ALERT
VO02_9515,VO02_9516,1.456,21,ALERT
VO02_9519,VO02_9520,1.462,27,ALERT
VO02_9523,VO02_9524,1.432,-3,OK
VO02_9547,VO02_9548,1.460,25,ALERT
VO02_9551,VO02_9552,1.435,0,OK
VO02_9555,VO02_9556,1.442,7,ALERT
VO02_9559,VO02_9560,1.436,1,OK
VO02_9563,VO02_9564,1.436,1,OK
VO02_9587,VO02_9588,1.431,-4,OK
VO02_9591,VO02_9592,1.435,0,OK
VO02_9595,VO02_9596,1.439,4,OK
VO02_9599,VO02_9600,1.440,5,OK
VO02_9603,VO02_9604,1.437,2,OK
VO02_9627,VO02_9628,1.439,4,OK
VO02_9631,VO02_9632,1.439,4,OK
VO02_9635,VO02_9636,1.440,5,OK
VO02_9639,VO02_9640,1.433,-2,OK
VO02_9643,VO02_9644,1.438,3,OK
VO02_9663,VO02_9664,1.435,0,OK
VO02_9667,VO02_9668,1.441,6,ALERT
VO02_9671,VO02_9672,1.437,2,OK
VO02_9675,VO02_9676,1.438,3,OK
VO02_9679,VO02_9680,1.472,37,ALERT
VO02_9707,VO02_9708,1.439,4,OK
VO02_9711,VO02_9712,1.435,0,OK
VO02_9715,VO02_9716,1.435,0,OK
VO02_9719,VO02_9720,1.439,4,OK
VO02_9723,VO02_9724,1.436,1,OK
VO02_9747,VO02_9748,1.436,1,OK
VO02_9751,VO02_9752,1.432,-3,OK
VO02_9755,VO02_9756,1.436,1,OK
VO02_9759,VO02_9760,1.430,-5,OK
VO02_9763,VO02_9764,1.434,-1,OK
VO02_9791,VO02_9792,1.433,-2,OK
VO02_9795,VO02_9796,1.432,-3,OK
VO02_9799,VO02_9800,1.438,3,OK
VO02_9803,VO02_9804,1.431,-4,OK
VO02_9807,VO02_9808,1.434,-1,OK
VO02_9811,VO02_9812,1.430,-5,OK
VO02_9827,VO02_9828,1.432,-3,OK
VO02_9831,VO02_9832,1.432,-3,OK
VO02_9835,VO02_9836,1.431,-4,OK
VO02_9839,VO02_9840,1.435,0,OK
VO02_9843,VO02_9844,1.435,0,OK
VO02_9867,VO02_9868,1.429,-6,ALERT
VO02_9871,VO02_9872,1.434,-1,OK
VO02_9875,VO02_9876,1.433,-2,OK
VO02_9879,VO02_9880,1.436,1,OK
